Year,Month,VH_mean,VV_mean,VH_VV_ratio,RVI
2021,4,-18.9086,-10.8697,-8.0389,0.6029
2021,5,-18.8978,-10.6425,-8.2553,0.5855
2021,6,-17.299,-9.2693,-8.0297,0.6109
2021,7,-16.1434,-8.6794,-7.4641,0.6804
2021,8,-17.5171,-10.1722,-7.3449,0.6836
2021,9,-17.2787,-10.1435,-7.1352,0.7134
2021,10,-16.1285,-9.394,-6.7345,0.7502
2021,11,-17.7754,-10.2638,-7.5116,0.6635
2021,12,-17.9181,-10.1407,-7.7774,0.6342
2022,1,-18.3341,-10.449,-7.885,0.6211
2022,2,-18.7692,-10.9467,-7.8225,0.6367
2022,3,-18.6339,-10.9989,-7.635,0.65
2022,4,-18.9123,-11.0278,-7.8845,0.6562
2022,5,-18.9595,-10.6713,-8.2882,0.5798
2022,6,-17.2121,-8.8844,-8.3276,0.5854
2022,7,-16.5633,-8.6967,-7.8666,0.6313
2022,8,-16.088,-8.9994,-7.0886,0.7538
2022,11,-18.2174,-10.6051,-7.6123,0.6927
2022,12,-18.5324,-10.7008,-7.8317,0.6625
2023,1,-18.5769,-10.7632,-7.8138,0.6344
2023,2,-18.8077,-11.0339,-7.7738,0.6714
2023,3,-18.9933,-11.0608,-7.9325,0.654
2023,4,-19.111,-11.0173,-8.0937,0.6356
2023,5,-18.566,-10.4105,-8.1555,0.5979
2023,6,-18.6575,-10.2803,-8.3772,0.5743
2023,7,-17.9886,-9.8398,-8.1488,0.6377
2023,8,-18.1126,-10.2325,-7.8801,0.632
2023,9,-16.6216,-9.3666,-7.255,0.7272
2023,11,-17.8334,-10.2089,-7.6245,0.6894
2023,12,-18.2993,-10.0978,-8.2015,0.5906
2024,1,-19.0236,-10.7714,-8.2522,0.594
2024,2,-19.4768,-11.3867,-8.0901,0.6467
2024,3,-19.6441,-11.475,-8.1691,0.6043
2024,4,-19.4168,-11.2558,-8.161,0.596
2024,5,-19.723,-11.0456,-8.6774,0.5524
2024,8,-15.6619,-8.6092,-7.0528,0.7579
2024,9,-16.7033,-9.6264,-7.0769,0.7129
2024,10,-15.5265,-8.7093,-6.8173,0.7441
2024,11,-17.787,-10.1935,-7.5935,0.6492
2024,12,-18.5172,-10.4479,-8.0693,0.6086
2025,1,-18.555,-10.3846,-8.1704,0.593
2025,2,-18.6659,-10.6928,-7.9731,0.6214
2025,3,-18.6844,-10.8987,-7.7857,0.6333
2025,4,-18.9432,-11.0335,-7.9097,0.626
2025,5,-17.6632,-10.0436,-7.6196,0.6512
2025,6,-17.3101,-9.5642,-7.7459,0.6426
2025,7,-17.9461,-10.0532,-7.8928,0.6232
2025,8,-16.3824,-9.2323,-7.1501,0.717
2025,9,-16.5575,-9.5539,-7.0036,0.7301
2025,10,-16.4753,-9.4714,-7.0039,0.7201
2025,11,-18.1334,-10.401,-7.7324,0.6391
2025,12,-18.597,-10.5243,-8.0727,0.6008
