Year,Month,Precipitation,maxtemp,mintemp,avgtemp,specifichumidity,relativehumidity,surfacepressure,dewpoints,minwindspeed,maxwindspeed,cloudcoverage,VH_mean,VV_mean,VH_VV_ratio,RVI
2018,8,4.53,29.42,21.3,8.12,0.016013,77.89,93.78,20.42,5.15,10.2,0.38,-18.5073,-10.9157,-5.89,0.6648
2018,9,1.98,31.32,20.41,10.91,0.01508,70.89,94.07,19.54,2.01,5.46,0.44,-18.505,-10.7981,-5.78,0.6562
2018,10,0.74,33.12,19.61,13.51,0.012049,53.71,94.28,15.71,1.17,4.46,0.53,-17.6609,-10.2096,-6.33,0.675
2018,11,0.44,32.22,17.53,14.7,0.00947,45.54,94.41,11.47,1.56,4.48,0.63,-18.548,-10.7454,-6.61,0.6396
2018,12,0.01,30.31,14.13,16.18,0.007077,40.15,94.47,6.99,1.58,4.64,0.59,-18.8879,-11.0388,-6.94,0.628
2019,1,0.0,30.7,13.43,17.27,0.005901,34.85,94.47,4.88,1.56,4.31,0.66,-19.27,-11.4556,-7.0,0.6425
2019,2,198.64,34.78,16.26,18.52,0.005095,24.43,94.44,2.7,1.69,4.87,0.69,-19.476,-11.5074,-7.11,0.6229
2019,3,23.66,37.22,18.75,18.47,0.00638,25.49,94.16,5.43,1.17,4.72,0.68,-19.9202,-11.521,-7.22,0.5797
2019,4,77.93,40.48,21.43,19.05,0.007138,24.09,94.03,6.82,1.84,5.68,0.66,-19.7283,-11.1472,-7.23,0.5948
2019,5,4.41,39.79,24.39,15.4,0.011883,38.06,93.89,15.2,2.53,6.48,0.62,-18.67,-11.45,-7.22,0.5678
2019,6,233.42,32.45,23.06,9.39,0.01656,69.79,93.73,20.86,3.86,7.78,0.44,-20.022,-11.2146,-6.44,0.5692
2019,7,137.09,30.27,22.17,8.1,0.01661,76.17,93.75,20.93,5.18,10.36,0.33,-14.01,-8.01,-6.0,0.7345
2019,8,40.58,30.14,21.36,8.78,0.016198,76.57,93.75,20.52,3.4,7.8,0.38,-18.0213,-9.9888,-5.66,0.6087
2019,9,197.04,30.2,21.6,8.6,0.017074,79.02,93.94,21.4,1.78,4.55,0.44,-16.7938,-9.2414,-5.66,0.6651
2019,10,124.8,29.7,19.67,10.03,0.015034,74.36,94.08,19.17,1.43,3.56,0.53,-16.1981,-9.2031,-6.23,0.7096
2019,11,17.29,28.97,14.77,14.19,0.01098,64.33,94.31,14.28,1.69,4.24,0.63,-17.1098,-9.9368,-6.56,0.6836
2019,12,2.68,28.42,13.46,14.96,0.009119,56.53,94.44,11.06,1.8,4.96,0.59,-18.5185,-10.5551,-6.89,0.6024
2020,1,0.5,30.5,13.2,17.1,0.0062,36.5,94.45,5.2,1.45,4.4,0.65,-18.5986,-10.5661,-6.99,0.5962
2020,2,3.1,34.0,15.9,17.9,0.0056,28.5,94.4,4.0,1.5,4.7,0.67,-18.5886,-10.7602,-7.11,0.6324
2020,3,8.2,36.5,19.5,16.8,0.0072,30.2,94.2,7.8,1.25,4.8,0.66,-18.0712,-10.4075,-7.22,0.6453
2020,4,2.8,39.2,22.3,17.0,0.0085,27.9,94.05,10.1,1.5,5.4,0.64,-19.0439,-10.9796,-7.22,0.605
2020,5,15.4,38.9,23.8,15.5,0.0121,40.2,93.9,15.6,2.8,6.6,0.61,-18.3141,-10.1437,-7.22,0.5915
2020,6,120.5,32.3,22.9,9.5,0.0164,69.5,93.72,20.6,3.9,7.9,0.42,-18.7231,-10.0845,-6.44,0.5517
2020,7,180.2,29.5,21.8,7.5,0.0168,78.5,93.7,21.0,4.5,8.8,0.3,-16.9404,-9.1879,-6.0,0.6402
2020,8,150.3,29.8,21.5,8.2,0.0163,78.0,93.76,20.7,4.2,9.1,0.36,-16.6659,-9.5097,-5.67,0.7061
2020,9,160.8,29.5,21.0,8.4,0.016,77.5,93.9,20.3,2.5,5.5,0.42,-16.6527,-9.7961,-5.67,0.736
2020,10,60.2,30.0,18.5,11.8,0.0138,68.0,94.15,17.8,1.6,4.2,0.55,-16.7479,-9.8007,-6.12,0.7245
2020,11,5.3,30.5,14.5,15.8,0.0095,50.2,94.35,12.0,1.8,4.5,0.64,-18.1168,-10.477,-6.56,0.6484
2020,12,1.2,30.8,13.5,16.5,0.0078,42.0,94.48,8.5,1.7,4.5,0.62,-18.4536,-10.2537,-6.89,0.5845
2021,1,0.8,30.2,13.0,17.0,0.0061,35.8,94.46,5.0,1.4,4.35,0.65,-18.1999,-10.1384,-7.0,0.6061
2021,2,2.5,33.8,15.6,17.8,0.0055,27.8,94.42,3.8,1.48,4.65,0.67,-18.505,-10.6183,-7.11,0.6218
2021,3,6.8,36.2,19.3,16.6,0.0071,29.8,94.22,7.6,1.2,4.75,0.66,-18.7497,-10.7488,-7.22,0.6106
2021,4,3.5,38.9,22.0,17.1,0.0084,28.2,94.06,10.0,1.55,5.5,0.64,-18.9086,-10.8697,-7.23,0.6029
2021,5,18.5,38.6,23.6,15.4,0.012,41.0,93.92,15.5,2.7,6.5,0.61,-18.8978,-10.6425,-7.22,0.5855
2021,6,135.3,32.1,22.8,9.4,0.0165,70.0,93.7,20.7,4.0,8.0,0.41,-17.299,-9.2693,-6.44,0.6109
2021,7,195.4,29.3,21.9,7.4,0.0169,79.0,93.68,21.1,4.6,8.9,0.29,-16.1434,-8.6794,-6.0,0.6804
2021,8,165.8,29.6,21.4,8.1,0.0164,78.5,93.75,20.8,4.3,9.2,0.35,-17.5171,-10.1722,-5.66,0.6836
2021,9,170.5,29.8,21.1,8.5,0.0161,77.8,93.88,20.4,2.4,5.4,0.43,-17.2787,-10.1435,-5.67,0.7134
2021,10,55.8,29.8,18.3,11.6,0.0136,67.5,94.12,17.6,1.55,4.15,0.54,-16.1285,-9.394,-6.11,0.7502
2021,11,4.8,30.2,14.3,15.6,0.0094,49.8,94.33,11.8,1.75,4.45,0.63,-17.7754,-10.2638,-6.56,0.6635
2021,12,1.5,30.6,13.3,16.4,0.0077,41.5,94.46,8.3,1.65,4.45,0.62,-17.9181,-10.1407,-6.89,0.6342
2022,1,0.6,30.0,12.8,16.9,0.006,35.5,94.44,4.8,1.38,4.3,0.65,-18.3341,-10.449,-7.0,0.6211
2022,2,2.0,33.5,15.4,17.6,0.0054,27.5,94.4,3.6,1.45,4.6,0.67,-18.7692,-10.9467,-7.11,0.6367
2022,3,5.5,35.9,19.1,16.4,0.007,29.5,94.2,7.4,1.18,4.7,0.66,-18.6339,-10.9989,-7.22,0.65
2022,4,4.2,38.6,21.8,16.9,0.0083,28.5,94.04,9.8,1.52,5.45,0.64,-18.9123,-11.0278,-7.23,0.6562
2022,5,20.8,38.3,23.4,15.3,0.0119,41.5,93.9,15.4,2.75,6.45,0.61,-18.9595,-10.6713,-7.22,0.5798
2022,6,140.6,31.9,22.7,9.3,0.0166,70.5,93.68,20.8,4.1,8.1,0.4,-17.2121,-8.8844,-6.44,0.5854
2022,7,200.8,29.1,21.8,7.3,0.017,79.5,93.66,21.2,4.7,9.0,0.28,-16.5633,-8.6967,-6.0,0.6313
2022,8,175.5,29.4,21.3,8.0,0.0165,79.0,93.74,20.9,4.4,9.3,0.34,-16.088,-8.9994,-5.66,0.7538
2022,9,180.2,29.6,21.0,8.4,0.0162,78.0,93.86,20.5,2.35,5.35,0.42,-12.45,-6.78,-5.67,0.7834
2022,10,50.5,29.6,18.1,11.5,0.0135,67.0,94.1,17.4,1.5,4.1,0.54,-13.78,-7.67,-6.11,0.7412
2022,11,4.5,30.0,14.1,15.4,0.0093,49.5,94.32,11.6,1.72,4.42,0.63,-18.2174,-10.6051,-6.56,0.6927
2022,12,1.8,30.4,13.1,16.3,0.0076,41.0,94.44,8.1,1.62,4.42,0.62,-18.5324,-10.7008,-6.89,0.6625
2023,1,0.4,29.8,12.6,16.8,0.0059,35.2,94.42,4.6,1.35,4.25,0.65,-18.5769,-10.7632,-7.0,0.6344
2023,2,1.8,33.2,15.2,17.4,0.0053,27.2,94.38,3.4,1.42,4.55,0.67,-18.8077,-11.0339,-7.11,0.6714
2023,3,4.8,35.6,18.9,16.2,0.0069,29.2,94.18,7.2,1.15,4.65,0.66,-18.9933,-11.0608,-7.22,0.654
2023,4,5.0,38.3,21.6,16.8,0.0082,28.8,94.02,9.6,1.5,5.4,0.64,-19.111,-11.0173,-7.22,0.6356
2023,5,22.5,38.0,23.2,15.2,0.0118,42.0,93.88,15.3,2.8,6.5,0.6,-18.566,-10.4105,-7.22,0.5979
2023,6,145.8,31.7,22.6,9.2,0.0167,71.0,93.66,20.9,4.2,8.2,0.39,-18.6575,-10.2803,-6.44,0.5743
2023,7,210.5,28.9,21.7,7.2,0.0171,80.0,93.64,21.3,4.8,9.1,0.27,-17.9886,-9.8398,-6.0,0.6377
2023,8,180.8,29.2,21.2,7.9,0.0166,79.5,93.72,21.0,4.5,9.4,0.33,-18.1126,-10.2325,-5.67,0.632
2023,9,185.4,29.4,20.9,8.3,0.0163,78.5,93.84,20.6,2.3,5.3,0.41,-16.6216,-9.3666,-5.67,0.7272
2023,10,48.2,29.4,17.9,11.4,0.0134,66.5,94.08,17.2,1.48,4.05,0.54,-13.67,-7.56,-6.11,0.7434
2023,11,4.2,29.8,13.9,15.2,0.0092,49.2,94.3,11.4,1.7,4.38,0.63,-17.8334,-10.2089,-6.55,0.6894
2023,12,2.0,30.2,12.9,16.2,0.0075,40.5,94.42,7.9,1.6,4.4,0.62,-18.2993,-10.0978,-6.89,0.5906
2024,1,0.3,29.6,12.4,16.7,0.0058,34.9,94.4,4.4,1.32,4.2,0.65,-19.0236,-10.7714,-7.0,0.594
2024,2,1.5,33.0,15.0,17.2,0.0052,27.0,94.36,3.2,1.4,4.5,0.67,-19.4768,-11.3867,-7.12,0.6467
2024,3,4.2,35.3,18.7,16.0,0.0068,29.0,94.16,7.0,1.12,4.6,0.66,-19.6441,-11.475,-7.22,0.6043
2024,4,5.5,38.0,21.4,16.7,0.0081,29.0,94.0,9.4,1.48,5.35,0.64,-19.4168,-11.2558,-7.22,0.596
2024,5,25.0,37.7,23.0,15.1,0.0117,42.5,93.86,15.2,2.85,6.55,0.6,-19.723,-11.0456,-7.22,0.5524
2024,6,150.2,31.5,22.5,9.1,0.0168,71.5,93.64,21.0,4.3,8.3,0.38,-15.34,-8.89,-6.45,0.6845
2024,7,215.8,28.7,21.6,7.1,0.0172,80.5,93.62,21.4,4.9,9.2,0.26,-13.56,-7.56,-6.0,0.7445
2024,8,185.5,29.0,21.1,7.8,0.0167,80.0,93.7,21.1,4.6,9.5,0.32,-15.6619,-8.6092,-5.67,0.7579
2024,9,190.8,29.2,20.8,8.2,0.0164,79.0,93.82,20.7,2.25,5.25,0.4,-16.7033,-9.6264,-5.67,0.7129
2024,10,45.8,29.2,17.7,11.3,0.0133,66.0,94.06,17.0,1.45,4.0,0.54,-15.5265,-8.7093,-6.11,0.7441
2024,11,3.9,29.6,13.7,15.0,0.0091,48.9,94.28,11.2,1.68,4.35,0.63,-17.787,-10.1935,-6.55,0.6492
2024,12,2.2,30.0,12.7,16.1,0.0074,40.0,94.4,7.7,1.58,4.38,0.62,-18.5172,-10.4479,-6.89,0.6086
2025,1,0.2,29.4,12.2,16.6,0.0057,34.6,94.38,4.2,1.3,4.15,0.65,-18.555,-10.3846,-7.0,0.593
2025,2,1.2,32.8,14.8,17.0,0.0051,26.8,94.34,3.0,1.38,4.45,0.67,-18.6659,-10.6928,-7.11,0.6214
2025,3,3.8,35.0,18.5,15.8,0.0067,28.8,94.14,6.8,1.1,4.55,0.66,-18.6844,-10.8987,-7.22,0.6333
2025,4,6.0,37.7,21.2,16.6,0.008,29.2,93.98,9.2,1.45,5.3,0.64,-18.9432,-11.0335,-7.22,0.626
2025,5,28.0,37.4,22.8,15.0,0.0116,43.0,93.84,15.1,2.9,6.6,0.6,-17.6632,-10.0436,-7.23,0.6512
2025,6,155.5,31.3,22.4,9.0,0.0169,72.0,93.62,21.1,4.4,8.4,0.37,-17.3101,-9.5642,-6.45,0.6426
2025,7,220.3,28.5,21.5,7.0,0.0173,81.0,93.6,21.5,5.0,9.3,0.25,-17.9461,-10.0532,-6.0,0.6232
2025,8,190.2,28.8,21.0,7.7,0.0168,80.5,93.68,21.2,4.7,9.6,0.31,-16.3824,-9.2323,-5.67,0.717
2025,9,195.6,29.0,20.7,8.1,0.0165,79.5,93.8,20.8,2.2,5.2,0.39,-16.5575,-9.5539,-5.67,0.7301
2025,10,43.5,29.0,17.5,11.2,0.0132,65.5,94.04,16.8,1.42,3.95,0.54,-16.4753,-9.4714,-6.11,0.7201
2025,11,3.6,29.4,13.5,14.8,0.009,48.6,94.26,11.0,1.65,4.32,0.63,-18.1334,-10.401,-6.55,0.6391
2025,12,2.4,29.8,12.5,16.0,0.0073,39.5,94.38,7.5,1.55,4.35,0.62,-18.597,-10.5243,-6.89,0.6008
